data_id,with_comp_action,use_comp_subtask_chain,use_atom_subtask_chain,done,env_steps,agents_steps,communication_times,CABTP_expanded_num,dmr_record_expanded_num,total_expanded_num,CABTP_expanded_time,dmr_expanded_time,total_expanded_time
13.0,False,False,False,1.0,161.04,570.76,0.0,0.0,5518.88,5518.88,0.0,3.495882272720337,3.495882272720337
13.0,False,False,True,1.0,159.36,557.28,63.84,0.0,5518.88,5518.88,0.0,3.495882272720337,3.495882272720337
13.0,True,False,False,1.0,108.44,363.28,0.0,24.88,746.12,771.0,0.009925642013549806,0.3632936859130859,0.37321932792663576
13.0,True,False,True,1.0,104.4,350.0,8.6,24.88,746.12,771.0,0.009925642013549806,0.3632936859130859,0.37321932792663576
13.0,True,True,False,1.0,80.04,218.96,5.12,24.88,746.12,771.0,0.009925642013549806,0.3632936859130859,0.37321932792663576
13.0,True,True,True,1.0,78.76,219.24,13.68,24.88,746.12,771.0,0.009925642013549806,0.3632936859130859,0.37321932792663576
