data_id,with_comp_action,use_comp_subtask_chain,use_atom_subtask_chain,done,env_steps,agents_steps,communication_times,CABTP_expanded_num,dmr_record_expanded_num,total_expanded_num,CABTP_expanded_time,dmr_expanded_time,total_expanded_time
1,False,False,False,True,73,146,0,0,68,68,0.0,0.007102489471435547,0.007102489471435547
1,False,False,True,True,73,136,16,0,68,68,0.0,0.007102489471435547,0.007102489471435547
1,True,False,False,True,103,206,0,6,4,10,0.0,0.0019931793212890625,0.0019931793212890625
1,True,False,True,True,103,206,0,6,4,10,0.0,0.0019931793212890625,0.0019931793212890625
1,True,True,False,True,64,104,4,6,4,10,0.0,0.0019931793212890625,0.0019931793212890625
1,True,True,True,True,64,104,4,6,4,10,0.0,0.0019931793212890625,0.0019931793212890625
2,False,False,False,True,128,255,0,0,657,657,0.0,0.12315750122070312,0.12315750122070312
2,False,False,True,True,128,254,30,0,657,657,0.0,0.12315750122070312,0.12315750122070312
2,True,False,False,True,128,255,0,8,4,12,0.0,0.001001119613647461,0.001001119613647461
2,True,False,True,True,128,255,0,8,4,12,0.0,0.001001119613647461,0.001001119613647461
2,True,True,False,True,64,128,4,8,4,12,0.0,0.001001119613647461,0.001001119613647461
2,True,True,True,True,64,128,4,8,4,12,0.0,0.001001119613647461,0.001001119613647461
3,False,False,False,True,75,149,0,0,201,201,0.0,0.029048919677734375,0.029048919677734375
3,False,False,True,True,73,138,18,0,201,201,0.0,0.029048919677734375,0.029048919677734375
3,True,False,False,True,74,147,0,0,142,142,0.0,0.018728256225585938,0.018728256225585938
3,True,False,True,True,74,138,18,0,142,142,0.0,0.018728256225585938,0.018728256225585938
3,True,True,False,True,74,147,0,0,142,142,0.0,0.018728256225585938,0.018728256225585938
3,True,True,True,True,74,138,18,0,142,142,0.0,0.018728256225585938,0.018728256225585938
4,False,False,False,True,73,146,0,0,46,46,0.0,0.0032155513763427734,0.0032155513763427734
4,False,False,True,True,73,136,16,0,46,46,0.0,0.0032155513763427734,0.0032155513763427734
