data_id,with_comp_action,use_comp_subtask_chain,use_atom_subtask_chain,done,env_steps,agents_steps,communication_times,CABTP_expanded_num,dmr_record_expanded_num,total_expanded_num,CABTP_expanded_time,dmr_expanded_time,total_expanded_time
12,False,False,True,True,124,494,46,0,756,756,0.0,0.18944120407104492,0.18944120407104492
12,True,False,False,True,74,294,0,0,760,760,0.0,0.15794038772583008,0.15794038772583008
12,True,False,True,True,74,292,35,0,760,760,0.0,0.15794038772583008,0.15794038772583008
12,True,True,False,True,74,294,0,0,760,760,0.0,0.15794038772583008,0.15794038772583008
12,True,True,True,True,74,292,36,0,760,760,0.0,0.15794038772583008,0.15794038772583008
13,False,False,False,True,74,295,0,0,268,268,0.0,0.029859066009521484,0.029859066009521484
13,False,False,True,True,73,262,30,0,268,268,0.0,0.029859066009521484,0.029859066009521484
13,True,False,False,True,104,413,0,8,8,16,0.0009965896606445312,0.0024971961975097656,0.003493785858154297
13,True,False,True,True,104,413,0,8,8,16,0.0009965896606445312,0.0024971961975097656,0.003493785858154297
13,True,True,False,True,64,136,6,8,8,16,0.0009965896606445312,0.0024971961975097656,0.003493785858154297
13,True,True,True,True,64,136,6,8,8,16,0.0009965896606445312,0.0024971961975097656,0.003493785858154297
14,False,False,False,True,134,535,0,0,2435,2435,0.0,2.358222484588623,2.358222484588623
14,False,False,True,True,124,494,45,0,2435,2435,0.0,2.358222484588623,2.358222484588623
14,True,False,False,True,103,412,0,8,13,21,0.0017333030700683594,0.018022775650024414,0.019756078720092773
14,True,False,True,True,72,288,2,8,13,21,0.0017333030700683594,0.018022775650024414,0.019756078720092773
14,True,True,False,True,85,169,8,8,13,21,0.0017333030700683594,0.018022775650024414,0.019756078720092773
14,True,True,True,True,64,136,6,8,13,21,0.0017333030700683594,0.018022775650024414,0.019756078720092773
15,False,False,False,True,138,552,0,0,1936,1936,0.0,1.0127811431884766,1.0127811431884766
15,False,False,True,True,133,507,48,0,1936,1936,0.0,1.0127811431884766,1.0127811431884766
15,True,False,False,True,135,538,0,12,1037,1049,0.0009965896606445312,0.603104829788208,0.6041014194488525
15,True,False,True,True,104,414,8,12,1037,1049,0.0009965896606445312,0.603104829788208,0.6041014194488525
15,True,True,False,True,96,260,6,12,1037,1049,0.0009965896606445312,0.603104829788208,0.6041014194488525
15,True,True,True,True,94,262,16,12,1037,1049,0.0009965896606445312,0.603104829788208,0.6041014194488525
16,False,False,False,True,256,1021,0,0,12372,12372,0.0,10.17124342918396,10.17124342918396
16,False,False,True,True,256,1018,122,0,12372,12372,0.0,10.17124342918396,10.17124342918396
16,True,False,False,True,128,509,0,394,12336,12730,0.0009965896606445312,10.167694807052612,10.168691396713257
16,True,False,True,True,128,506,58,394,12336,12730,0.0009965896606445312,10.167694807052612,10.168691396713257
16,True,True,False,True,128,509,0,394,12336,12730,0.0009965896606445312,10.167694807052612,10.168691396713257
16,True,True,True,True,128,506,58,394,12336,12730,0.0009965896606445312,10.167694807052612,10.168691396713257
17,False,False,False,True,256,1021,0,0,15819,15819,0.0,19.824493408203125,19.824493408203125
17,False,False,True,True,256,1018,122,0,15819,15819,0.0,19.824493408203125,19.824493408203125
17,True,False,False,True,128,510,0,16,22,38,0.002075672149658203,0.009772062301635742,0.011847734451293945
17,True,False,True,True,128,510,0,16,22,38,0.002075672149658203,0.009772062301635742,0.011847734451293945
17,True,True,False,True,64,256,8,16,22,38,0.002075672149658203,0.009772062301635742,0.011847734451293945
17,True,True,True,True,64,256,8,16,22,38,0.002075672149658203,0.009772062301635742,0.011847734451293945
18,False,False,False,True,256,1021,0,0,15026,15026,0.0,18.573651790618896,18.573651790618896
18,False,False,True,True,256,1018,122,0,15026,15026,0.0,18.573651790618896,18.573651790618896
18,True,False,False,True,128,510,0,16,22,38,0.0019931793212890625,0.013053655624389648,0.015046834945678711
18,True,False,True,True,128,510,0,16,22,38,0.0019931793212890625,0.013053655624389648,0.015046834945678711
18,True,True,False,True,64,256,8,16,22,38,0.0019931793212890625,0.013053655624389648,0.015046834945678711
18,True,True,True,True,64,256,8,16,22,38,0.0019931793212890625,0.013053655624389648,0.015046834945678711
19,False,False,False,True,168,504,0,0,8029,8029,0.0,14.195841550827026,14.195841550827026
19,False,False,True,True,167,483,53,0,8029,8029,0.0,14.195841550827026,14.195841550827026
19,True,False,False,True,175,523,0,10,2978,2988,0.0,2.9311835765838623,2.9311835765838623
19,True,False,True,True,166,496,20,10,2978,2988,0.0,2.9311835765838623,2.9311835765838623
19,True,True,False,True,206,460,6,10,2978,2988,0.0,2.9311835765838623,2.9311835765838623
19,True,True,True,True,166,427,44,10,2978,2988,0.0,2.9311835765838623,2.9311835765838623
20,False,False,False,True,201,802,0,0,14217,14217,0.0,19.002023696899414,19.002023696899414
20,False,False,True,True,201,772,92,0,14217,14217,0.0,19.002023696899414,19.002023696899414
20,True,False,False,True,128,511,0,16,60,76,0.0017390251159667969,0.02773118019104004,0.029470205307006836
20,True,False,True,True,128,511,0,16,60,76,0.0017390251159667969,0.02773118019104004,0.029470205307006836
20,True,True,False,True,64,232,8,16,60,76,0.0017390251159667969,0.02773118019104004,0.029470205307006836
20,True,True,True,True,64,232,8,16,60,76,0.0017390251159667969,0.02773118019104004,0.029470205307006836
21,False,False,False,True,256,1021,0,0,12372,12372,0.0,9.731069803237915,9.731069803237915
21,False,False,True,True,256,1018,122,0,12372,12372,0.0,9.731069803237915,9.731069803237915
21,True,False,False,True,128,510,0,16,29,45,0.0009965896606445312,0.008060455322265625,0.009057044982910156
21,True,False,True,True,128,509,4,16,29,45,0.0009965896606445312,0.008060455322265625,0.009057044982910156
21,True,True,False,True,64,256,8,16,29,45,0.0009965896606445312,0.008060455322265625,0.009057044982910156
21,True,True,True,True,64,256,8,16,29,45,0.0009965896606445312,0.008060455322265625,0.009057044982910156
22,False,False,False,True,256,1021,0,0,12372,12372,0.0,9.84167194366455,9.84167194366455
22,False,False,True,True,256,1018,122,0,12372,12372,0.0,9.84167194366455,9.84167194366455
22,True,False,False,True,128,511,0,16,634,650,0.0019502639770507812,0.12193965911865234,0.12388992309570312
22,True,False,True,True,128,511,32,16,634,650,0.0019502639770507812,0.12193965911865234,0.12388992309570312
22,True,True,False,True,128,448,6,16,634,650,0.0019502639770507812,0.12193965911865234,0.12388992309570312
22,True,True,True,True,128,448,38,16,634,650,0.0019502639770507812,0.12193965911865234,0.12388992309570312
23,False,False,False,True,256,1021,0,0,12372,12372,0.0,9.921839237213135,9.921839237213135
23,False,False,True,True,256,1018,122,0,12372,12372,0.0,9.921839237213135,9.921839237213135
23,True,False,False,True,128,510,0,16,29,45,0.001993417739868164,0.008876800537109375,0.010870218276977539
23,True,False,True,True,128,509,4,16,29,45,0.001993417739868164,0.008876800537109375,0.010870218276977539
23,True,True,False,True,64,256,8,16,29,45,0.001993417739868164,0.008876800537109375,0.010870218276977539
23,True,True,True,True,64,256,8,16,29,45,0.001993417739868164,0.008876800537109375,0.010870218276977539
24,False,False,False,True,256,1021,0,0,12372,12372,0.0,9.193280458450317,9.193280458450317
24,False,False,True,True,256,1018,122,0,12372,12372,0.0,9.193280458450317,9.193280458450317
24,True,False,False,True,128,510,0,16,29,45,0.0021827220916748047,0.00797581672668457,0.010158538818359375
24,True,False,True,True,128,509,4,16,29,45,0.0021827220916748047,0.00797581672668457,0.010158538818359375
24,True,True,False,True,64,256,8,16,29,45,0.0021827220916748047,0.00797581672668457,0.010158538818359375
24,True,True,True,True,64,256,8,16,29,45,0.0021827220916748047,0.00797581672668457,0.010158538818359375
25,False,False,False,True,256,1021,0,0,12372,12372,0.0,10.068443298339844,10.068443298339844
25,False,False,True,True,256,1018,122,0,12372,12372,0.0,10.068443298339844,10.068443298339844
25,True,False,False,True,128,510,0,16,29,45,0.0,0.010026931762695312,0.010026931762695312
25,True,False,True,True,128,509,4,16,29,45,0.0,0.010026931762695312,0.010026931762695312
25,True,True,False,True,64,256,8,16,29,45,0.0,0.010026931762695312,0.010026931762695312
25,True,True,True,True,64,256,8,16,29,45,0.0,0.010026931762695312,0.010026931762695312
